序號,6次近績,馬名,烙號,負磅,騎師,可能超磅,檔位,練馬師,評分,評分+/-,排位體重,排位體重+/-,最佳時間,馬齡,性別,今季獎金,優先參賽次序,上賽距今日數,配備,馬主,父系,母系,進口類別
1,1/2/1/1/1/1,,遨遊氣泡,E436,135,潘明輝,,6,姚本輝,-,134,3,,-,1.32.82,7,-,閹,0,,147,CP,日月輝煌賽馬團體
2,5/2/8/2/7/3,,錶之銀河,H399,122,周俊樂,,9,伍鵬志,-,121,-3,,-,1.33.13,6,-,閹,0,,175,CP-/TT,楊建文
3,6/1/6/5/3/5,,紅運帝王,H115,119,金誠剛,,13,蔡約翰,-,118,0,,-,1.33.21,6,-,閹,0,,141,,夏佳理與夏安麗
4,3/1/9/7/5/5,,美麗同享,E058,117,梁家俊,,14,告東尼,-,116,0,,-,1.33.04,9,-,閹,0,,98,TT,郭羅桂珍與郭浩泉
5,9/8/1/7/9/5,,直線力山,G435,117,黃智弘,,1,姚本輝,-,116,0,,-,1.33.47,7,-,閹,0,,119,XB-/V1,羅琪茵
6,1/4/2/2/1/3,,祝願,J256,115,巴度,,11,廖康銘,-,114,9,,-,1.33.36,5,-,閹,"2,352,000",,21,,車曉紅、唐獻芳與許禮詩
7,2/8/1/5/8/9,,合夥奔馳,H408,115,董明朗,2,10,呂健威,-,111,2,,-,,6,-,閹,"882,000",,21,XB,合夥精神團體
8,3/2/2/5/6/4,,越駿歡欣,G446,115,田泰安,,8,羅富全,-,111,1,,-,1.33.30,6,-,閹,"483,000",,21,TT,越駿團體
9,11/8/3/10/10/4,,永遠美麗,H008,115,蔡明紹,,5,蔡約翰,-,108,-4,,-,1.33.04,7,-,閹,0,,98,E2,郭浩泉
10,2/3/5/1/9/12,,百賀飛駒,K021,115,楊明綸,,3,呂健威,-,108,1,,-,1.34.07,5,-,閹,0,,119,,羅琪茵
11,8/6/4/8/2/3,,安騁,H452,115,艾兆禮,,2,蔡約翰,-,108,-2,,-,1.34.75,5,-,閹,0,,119,,王賢敏
12,14/14/10/8/1/9,,知足常樂,G448,115,潘大衛,2,7,羅富全,-,108,-2,,-,1.34.77,7,-,閹,0,,119,CP-/V1,李治邦
13,10/10/5/6/9/8,,維港智能,G404,115,鍾易禮,,12,游達榮,-,108,-1,,-,,7,-,閹,0,,21,TT,朱潤流
14,9/13/10/7/3/1,,智取神駒,H474,115,班德禮,1,4,沈集成,-,107,0,,-,1.34.13,6,-,閹,0,,21,TT,余國樑
